SampleID,ShannonDiversity,SimpsonDiversity,UniqueOTUs,TotalOTUs
Lucas0200,3.654243612147418,18.339202541795125,10050,14681
Lucas0117,3.5814560697363187,19.898723892406558,7923,10046
Lucas0193,3.1524117912219816,16.165494107900308,6954,10036
Lucas0113,3.318053519173217,16.32631479743707,6686,8259
Lucas0119,3.0728236492049916,11.758980295286571,6832,8668
Lucas0038,3.469960369073882,17.384085538546465,10798,15395
Lucas0207,3.3091783617619615,16.682191018578717,12592,15287
Lucas0205,3.5867340368939327,18.335386250311032,14873,20279
Lucas0118,3.4175407672308857,15.896286348858506,10592,14100
Lucas0112,3.137424981526186,13.985671412455645,6149,7785
Lucas0202,3.4293103322692438,20.51035407783952,6094,7811
Lucas0116,3.282808784916725,14.86300240058346,5806,7120
Lucas0371,3.131885735526399,17.794492441421724,4197,6644
Lucas0501,3.2387915204958166,14.045849186217225,6961,9526
Lucas0502,3.5745095580794946,19.070789643476697,9779,13821
Lucas0197,3.2509571501549703,15.535639090637007,7265,9767
Lucas0003,3.633711827423988,18.87097217923452,14075,20371
Lucas0198,3.504012874000556,20.33610762080919,8669,13121
Lucas0115,3.501019590153545,18.958021004963925,14129,17253
Lucas0209,3.0285633480067915,11.968791065827368,4752,5313
Lucas0021,3.3528580129167254,15.593146504109425,10097,14520
Lucas0201,3.3704691282533266,16.66630556267798,6071,8456
Lucas0194,3.312973327239228,19.67185028528068,6446,8751
Lucas0206,2.95087458748111,13.724190367335911,9332,12501
Lucas0114,3.2996914250951637,16.222141720559048,8166,9924
